Title,PDF,EPUB,Other Links
Technoscopes,,https://leanpub.com/s/FE000A64949E4D5D8E6BFDC0655EA5A8.epub,
End to End API Testing & Interview Questions Notes,https://leanpub.com/s/B048838B6AEE4ADD9C75E8E35D4F8BF9.pdf,,
Driving Business Growth Through Cybersecurity: The Strategic Advantage of Fractional Executive Advisors for SMBs,https://leanpub.com/s/E39C69A53FAB4BB69D4C860A45369F1D.pdf,https://leanpub.com/s/E39C69A53FAB4BB69D4C860A45369F1D.epub,
Building Browser Game Prototypes,https://leanpub.com/s/CD754CE2CFB144E4AADB00E42803D511.pdf,https://leanpub.com/s/CD754CE2CFB144E4AADB00E42803D511.epub,
The Stone Princess,,https://leanpub.com/s/684904363D874A60B971965A7D32A898.epub,
Linuxsystemprog,https://leanpub.com/s/6A5D80B976504D74BB46CD103DC4EEB4.pdf,,
Professional Software Architect's Notebook,https://leanpub.com/s/BED44A8A0A7049B5A17399B5DD27B78C.pdf,,
Ghost in the Wires: The Making of a Modern Hacker,https://leanpub.com/s/AE90AE69083A4AA4958ACA94FD0B2385.pdf,https://leanpub.com/s/AE90AE69083A4AA4958ACA94FD0B2385.epub,
Principles of Project Management,https://leanpub.com/s/E85C773F61DD49929597CB9939CC38A5.pdf,https://leanpub.com/s/E85C773F61DD49929597CB9939CC38A5.epub,
TDD: How to Do it Properly and Why It's Easy,https://leanpub.com/s/4C1201D1165645E8B784923C75DDC872.pdf,https://leanpub.com/s/4C1201D1165645E8B784923C75DDC872.epub,
Guides,https://leanpub.com/s/3EB961F5E0974074AFA183A23D13965E.pdf,https://leanpub.com/s/3EB961F5E0974074AFA183A23D13965E.epub,
The Productivity Stream,https://leanpub.com/s/BCE8E1CCB37D490DB7D876EC9D72A5E5.pdf,,
Porn and Human life,https://leanpub.com/s/D4FE974CAEB14F5294D145F02FD46E1A.pdf,,
‘Vision Engineering’: Top Level Value Planning,https://leanpub.com/s/E2AAE8308440460FA7BFA577FFD83CDC.pdf,,
‘TIA’ A Toolkit for Institutional Architecture,https://leanpub.com/s/08740FDC2E8A408DA6E889F332CED2CB.pdf,,
Spring AI for Your Organization,https://leanpub.com/s/DA63FA2924264D4B975FDE87182AA581.pdf,https://leanpub.com/s/DA63FA2924264D4B975FDE87182AA581.epub,
Visual Collaboration Tools,https://leanpub.com/s/406DE5E542D74B66B1E07FA6177CF7D7.pdf,https://leanpub.com/s/406DE5E542D74B66B1E07FA6177CF7D7.epub,
5 Steps To Improving Your Mindset,https://leanpub.com/s/BDEEBB04ED3B4EE5ACD7BC3DEBAAD1F5.pdf,,
Asynchronous functional javascript,https://leanpub.com/s/89960942F8FB41E38D41DA9A27C72F9D.pdf,,https://leanpub.com/s/89960942F8FB41E38D41DA9A27C72F9D.zip
